symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AMZN,2025-12-08 21:10:00+00:00,227.12,227.15,227.04,227.11,14277.0,389.0,227.098245
AMZN,2025-12-08 21:15:00+00:00,227.14,227.15,227.04,227.14,10717.0,275.0,227.111005
AMZN,2025-12-08 21:20:00+00:00,227.11,227.14,227.1,227.1005,36996.0,203.0,227.109843
AMZN,2025-12-08 21:25:00+00:00,227.13,227.23,227.13,227.18,20436.0,279.0,227.17909
AMZN,2025-12-08 21:30:00+00:00,227.2,227.23,227.0,227.14,9159.0,424.0,227.119632
AMZN,2025-12-08 21:35:00+00:00,227.1,227.2378,227.1,227.14,11274.0,326.0,227.151933
AMZN,2025-12-08 21:40:00+00:00,227.14,227.17,227.11,227.17,18816.0,309.0,227.127342
AMZN,2025-12-08 21:45:00+00:00,227.19,227.29,227.01,227.12,12209.0,432.0,227.16462
AMZN,2025-12-08 21:50:00+00:00,227.09,227.12,227.01,227.12,8455.0,324.0,227.058251
AMZN,2025-12-08 21:55:00+00:00,227.1487,227.18,227.0,227.11,12798.0,322.0,227.022207
AMZN,2025-12-08 22:00:00+00:00,227.05,227.1288,227.05,227.1288,3384.0,181.0,227.063526
AMZN,2025-12-08 22:05:00+00:00,227.08,227.1,227.0384,227.1,5116.0,116.0,227.094581
AMZN,2025-12-08 22:10:00+00:00,227.12,227.18,227.01,227.12,2137.0,105.0,227.080606
AMZN,2025-12-08 22:15:00+00:00,227.0136,227.14,227.0,227.0195,4338.0,140.0,227.007476
AMZN,2025-12-08 22:20:00+00:00,227.0001,227.05,227.0,227.02,4476.0,140.0,227.01072
AMZN,2025-12-08 22:25:00+00:00,227.02,227.1176,227.02,227.1,2766.0,159.0,227.052356
AMZN,2025-12-08 22:30:00+00:00,227.05,227.06,227.0,227.049,2874.0,104.0,227.01418
AMZN,2025-12-08 22:35:00+00:00,227.0294,227.05,227.0,227.0,2125.0,102.0,227.010548
